frame,decision,left_status,right_status,detections
427,"obstacle left, move right",very_near,clear,"microwave:0.85:244,356,557,530;oven:0.77:5,602,270,1480"
428,"obstacle left, move right",very_near,clear,"microwave:0.80:270,356,554,525;oven:0.78:5,595,270,1480"
429,"obstacle left, move right",very_near,clear,"microwave:0.81:246,347,553,522;oven:0.78:5,596,268,1484"
430,"obstacle left, move right",very_near,clear,"microwave:0.84:235,339,557,522;oven:0.80:5,595,266,1486"
431,"obstacle left, move right",very_near,clear,"oven:0.80:4,593,262,1489;microwave:0.77:232,337,552,517"
432,"obstacle left, move right",very_near,clear,"oven:0.78:4,592,259,1494;microwave:0.74:231,335,550,517"
433,"obstacle left, move right",very_near,clear,"oven:0.80:3,592,257,1499;microwave:0.71:264,343,547,511"
434,"obstacle left, move right",very_near,clear,"oven:0.81:3,590,254,1501;microwave:0.80:254,342,542,510"
435,"obstacle left, move right",very_near,clear,"oven:0.83:4,588,251,1504;microwave:0.72:249,339,541,512"
436,"obstacle left, move right",very_near,near,"oven:0.82:4,577,252,1510;microwave:0.69:244,336,541,514;refrigerator:0.52:585,0,1066,1056;refrigerator:0.47:13,1,601,224"
437,"obstacle left, move right",very_near,near,"oven:0.82:3,582,252,1518;microwave:0.71:239,338,536,512;refrigerator:0.51:12,1,598,224;refrigerator:0.42:585,0,1062,1053"
438,"obstacle left, move right",very_near,near,"oven:0.83:3,589,246,1529;microwave:0.69:236,341,529,512;refrigerator:0.44:14,0,592,223;refrigerator:0.40:582,0,1061,1047"
439,"obstacle left, move right",very_near,clear,"oven:0.83:4,593,243,1539;microwave:0.73:230,341,524,513"
440,"obstacle left, move right",very_near,clear,"oven:0.81:4,598,240,1546;microwave:0.63:195,334,524,516"
441,"obstacle left, move right",very_near,clear,"microwave:0.76:218,342,524,522;oven:0.75:3,595,239,1555"
442,"obstacle left, move right",very_near,clear,"oven:0.78:4,602,233,1562;microwave:0.77:206,337,529,523"
443,"obstacle left, move right",very_near,clear,"microwave:0.81:219,348,524,523;oven:0.73:4,601,231,1568"
444,"obstacle left, move right",very_near,clear,"microwave:0.78:207,345,518,524;oven:0.61:2,608,223,1575"
445,"obstacle left, move right",very_near,near,"microwave:0.73:209,352,516,525;oven:0.63:3,610,215,1579;refrigerator:0.41:567,1,1057,1057"
446,"obstacle left, move right",very_near,clear,"microwave:0.77:203,351,512,525;oven:0.49:3,613,214,1586"
447,"obstacle left, move right",very_near,clear,"microwave:0.80:208,351,511,526;oven:0.58:2,615,213,1593"
448,"obstacle left, move right",very_near,clear,"microwave:0.75:203,347,511,526;oven:0.58:1,615,212,1597"
449,"obstacle left, move right",very_near,clear,"microwave:0.75:201,346,508,526;oven:0.70:1,617,205,1603"
450,"obstacle left, move right",very_near,clear,"microwave:0.82:200,347,506,526;oven:0.76:1,614,201,1607"
451,"obstacle left, move right",very_near,clear,"microwave:0.79:199,346,506,525;oven:0.72:1,610,203,1616"
452,"obstacle left, move right",very_near,clear,"microwave:0.79:197,345,505,525;oven:0.74:1,612,200,1623"
453,"obstacle left, move right",very_near,clear,"microwave:0.77:177,338,510,526;oven:0.69:1,610,203,1628"
454,"obstacle left, move right",very_near,clear,"microwave:0.78:168,339,504,522;oven:0.67:0,606,201,1631"
455,"obstacle left, move right",very_near,clear,"microwave:0.77:181,336,503,522;oven:0.57:0,609,200,1635"
456,"obstacle left, move right",very_near,clear,"microwave:0.75:184,332,502,519;oven:0.53:0,615,197,1640"
457,"obstacle left, move right",very_near,clear,"microwave:0.81:185,330,501,517;oven:0.59:0,610,194,1644"
458,"obstacle left, move right",very_near,clear,"microwave:0.83:172,323,499,516;oven:0.43:0,601,195,1645"
459,"obstacle left, move right",very_near,clear,"microwave:0.81:161,316,498,511;oven:0.40:0,588,192,1644"
